IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,47822,20.33.25.54,5222,10213,Xiaomi service framework,com.xiaomi.xmsf,TCP,Closed,,1069,420,8,6,2026-06-25T00:46:02.744+01:00,2026-06-25T00:47:08.634+01:00
17,10.215.173.1,9063,10.215.173.2,53,10213,Xiaomi service framework,com.xiaomi.xmsf,DNS,Closed,fr.resolver.msg.global.xiaomi.net,79,152,1,1,2026-06-25T00:46:02.756+01:00,2026-06-25T00:46:02.770+01:00
6,10.215.173.1,54638,34.36.192.126,443,10213,Xiaomi service framework,com.xiaomi.xmsf,HTTPS,Closed,fr.resolver.msg.global.xiaomi.net,1436,2221,8,8,2026-06-25T00:46:02.783+01:00,2026-06-25T00:47:03.605+01:00
17,10.215.173.1,54853,10.215.173.2,53,10153,Google Play services,com.google.android.gms,DNS,Closed,mtalk.google.com,62,107,1,1,2026-06-25T00:46:13.726+01:00,2026-06-25T00:46:13.743+01:00
6,10.215.173.1,36414,209.85.203.188,5228,10153,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1573,2328,11,12,2026-06-25T00:46:13.756+01:00,2026-06-25T00:47:54.295+01:00
17,10.215.173.1,30340,10.215.173.2,53,10152,Gallery,com.miui.gallery,DNS,Closed,mcc.intl.inf.miui.com,67,174,1,1,2026-06-25T00:46:17.107+01:00,2026-06-25T00:46:17.147+01:00
6,10.215.173.1,36026,47.237.30.141,443,10152,Gallery,com.miui.gallery,TLS,Closed,mcc.intl.inf.miui.com,100,88,2,2,2026-06-25T00:46:17.159+01:00,2026-06-25T00:46:17.510+01:00
17,10.215.173.1,14105,10.215.173.2,53,10313,Claude,com.anthropic.claude,DNS,Closed,api.segment.io,60,108,1,1,2026-06-25T00:46:17.735+01:00,2026-06-25T00:46:17.839+01:00
6,10.215.173.1,33182,34.149.66.154,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,browser-intake-us5-datadoghq.com,18513,6142,23,23,2026-06-25T00:46:17.780+01:00,2026-06-25T00:47:19.659+01:00
17,10.215.173.1,16511,10.215.173.2,53,10313,Claude,com.anthropic.claude,DNS,Closed,claude.ai,55,71,1,1,2026-06-25T00:46:17.826+01:00,2026-06-25T00:46:17.937+01:00
17,10.215.173.1,15581,10.215.173.2,53,10313,Claude,com.anthropic.claude,DNS,Closed,api3.siftscience.com,66,121,1,1,2026-06-25T00:46:17.837+01:00,2026-06-25T00:46:17.968+01:00
6,10.215.173.1,49968,44.232.164.14,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,api.segment.io,1467,5177,9,9,2026-06-25T00:46:17.862+01:00,2026-06-25T00:46:18.771+01:00
17,10.215.173.1,40620,10.215.173.2,53,10313,Claude,com.anthropic.claude,DNS,Closed,a-api.anthropic.com,65,81,1,1,2026-06-25T00:46:17.893+01:00,2026-06-25T00:46:18.158+01:00
6,10.215.173.1,37208,160.79.104.10,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,claude.ai,178365,1160399,205,207,2026-06-25T00:46:17.999+01:00,2026-06-25T00:47:19.660+01:00
6,10.215.173.1,37210,160.79.104.10,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,claude.ai,1143,1108,10,9,2026-06-25T00:46:18.029+01:00,2026-06-25T00:46:18.239+01:00
6,10.215.173.1,37218,160.79.104.10,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,claude.ai,1063,2642,8,7,2026-06-25T00:46:18.107+01:00,2026-06-25T00:46:18.255+01:00
6,10.215.173.1,37234,160.79.104.10,443,10313,Claude,com.anthropic.claude,HTTPS,Closed,claude.ai,1103,3211,9,8,2026-06-25T00:46:18.117+01:00,2026-06-25T00:46:18.262+01:00
